Month,Total_Passengers
1990-01-01,6271648
1990-02-01,5608228
1990-03-01,7261485
1990-04-01,6666438
1990-05-01,6684581
1990-06-01,7629021
1990-07-01,8677938
1990-08-01,9100434
1990-09-01,7123752
1990-10-01,6632612
1990-11-01,6231111
1990-12-01,6538180
1991-01-01,6148863
1991-02-01,4672216
1991-03-01,6092644
1991-04-01,6038810
1991-05-01,6741125
1991-06-01,7482109
1991-07-01,8374528
1991-08-01,9139080
1991-09-01,7257571
1991-10-01,6914977
1991-11-01,6134916
1991-12-01,6774675
1992-01-01,6901511
1992-02-01,6281298
1992-03-01,7221718
1992-04-01,7007566
1992-05-01,7304494
1992-06-01,7889414
1992-07-01,8942150
1992-08-01,9431506
1992-09-01,7525113
1992-10-01,7428989
1992-11-01,6581619
1992-12-01,7127455
1993-01-01,7522394
1993-02-01,6394089
1993-03-01,7622832
1993-04-01,7315987
1993-05-01,7671674
1993-06-01,8185711
1993-07-01,9570276
1993-08-01,9938761
1993-09-01,7928488
1993-10-01,7768891
1993-11-01,6704969
1993-12-01,7516003
1994-01-01,7734295
1994-02-01,6649478
1994-03-01,8249397
1994-04-01,7577301
1994-05-01,7826280
1994-06-01,8738038
1994-07-01,9932014
1994-08-01,10185170
1994-09-01,8450237
1994-10-01,8068429
1994-11-01,7181674
1994-12-01,7958271
1995-01-01,8111345
1995-02-01,6920151
1995-03-01,8437800
1995-04-01,8335493
1995-05-01,8438129
1995-06-01,9320873
1995-07-01,10650418
1995-08-01,10921760
1995-09-01,9184007
1995-10-01,8699515
1995-11-01,7911554
1995-12-01,8590757
1996-01-01,8532217
1996-02-01,8074669
1996-03-01,9593858
1996-04-01,8775419
1996-05-01,9247058
1996-06-01,10184481
1996-07-01,11123114
1996-08-01,11615672
1996-09-01,9453882
1996-10-01,9142661
1996-11-01,8437653
1996-12-01,9067967
1997-01-01,9296872
1997-02-01,8402924
1997-03-01,10304974
1997-04-01,9289258
1997-05-01,9967684
1997-06-01,10661307
1997-07-01,11690768
1997-08-01,12241449
1997-09-01,10215412
1997-10-01,9734049
1997-11-01,8999707
1997-12-01,9519375
1998-01-01,9794136
1998-02-01,8716860
1998-03-01,10442123
1998-04-01,10147269
1998-05-01,10567532
1998-06-01,11246359
1998-07-01,12257403
1998-08-01,12514817
1998-09-01,10208884
1998-10-01,10223480
1998-11-01,9329460
1998-12-01,9851648
1999-01-01,10171126
1999-02-01,9074159
1999-03-01,11354708
1999-04-01,10620328
1999-05-01,11016249
1999-06-01,11861944
1999-07-01,13151205
1999-08-01,13348270
1999-09-01,11069130
1999-10-01,11131405
1999-11-01,10334641
1999-12-01,10075742
2000-01-01,10427758
2000-02-01,9990809
2000-03-01,12043042
2000-04-01,11851265
2000-05-01,12220377
2000-06-01,13282355
2000-07-01,14424004
2000-08-01,14219474
2000-09-01,11938750
2000-10-01,11437476
2000-11-01,10756570
2000-12-01,11119393
2001-01-01,11233667
2001-02-01,10010734
2001-03-01,12264815
2001-04-01,11796152
2001-05-01,11685418
2001-06-01,12939581
2001-07-01,13964143
2001-08-01,13970398
2001-09-01,8321866
2001-10-01,7605204
2001-11-01,7704489
2001-12-01,9115620
2002-01-01,9339827
2002-02-01,8598628
2002-03-01,10919725
2002-04-01,9793932
2002-05-01,10344350
2002-06-01,11488631
2002-07-01,12338081
2002-08-01,12533622
2002-09-01,9927823
2002-10-01,10060299
2002-11-01,9464381
2002-12-01,10654709
2003-01-01,10436506
2003-02-01,8948736
2003-03-01,10330860
2003-04-01,8930947
2003-05-01,9379530
2003-06-01,11123409
2003-07-01,12576333
2003-08-01,12781294
2003-09-01,10044565
2003-10-01,10199746
2003-11-01,9986824
2003-12-01,11069375
2004-01-01,10967999
2004-02-01,10010520
2004-03-01,11755742
2004-04-01,11473968
2004-05-01,11553914
2004-06-01,12861245
2004-07-01,14328484
2004-08-01,13916190
2004-09-01,11035667
2004-10-01,11205590
2004-11-01,10558376
2004-12-01,11705730
2005-01-01,12014347
2005-02-01,10529884
2005-03-01,13204473
2005-04-01,12048500
2005-05-01,12619717
2005-06-01,13783329
2005-07-01,15186999
2005-08-01,14325404
2005-09-01,11810930
2005-10-01,11526381
2005-11-01,10870526
2005-12-01,12189094
2006-01-01,12150715
2006-02-01,10595377
2006-03-01,13234515
2006-04-01,13064802
2006-05-01,13018957
2006-06-01,14229608
2006-07-01,15549459
2006-08-01,14693986
2006-09-01,12402740
2006-10-01,11859472
2006-11-01,11473918
2006-12-01,12741160
2007-01-01,12455775
2007-02-01,10882805
2007-03-01,13678197
2007-04-01,13175163
2007-05-01,13328105
2007-06-01,14633682
2007-07-01,16055687
2007-08-01,15654238
2007-09-01,12695551
2007-10-01,12704262
2007-11-01,12221336
2007-12-01,13362416
2008-01-01,13036238
2008-02-01,11890636
2008-03-01,14510742
2008-04-01,13199419
2008-05-01,13843595
2008-06-01,14742116
2008-07-01,15833305
2008-08-01,15612317
2008-09-01,11911286
2008-10-01,12085175
2008-11-01,11352207
2008-12-01,12583174
2009-01-01,12204650
2009-02-01,10482519
2009-03-01,12606272
2009-04-01,12708493
2009-05-01,11903853
2009-06-01,13359413
2009-07-01,15143876
2009-08-01,15011663
2009-09-01,11781054
2009-10-01,12028573
2009-11-01,11157330
2009-12-01,12752243
2010-01-01,12559476
2010-02-01,10797080
2010-03-01,13406541
2010-04-01,12524436
2010-05-01,13510088
2010-06-01,14557825
2010-07-01,16265644
2010-08-01,15560107
2010-09-01,12741005
2010-10-01,13029124
2010-11-01,11767883
2010-12-01,13085763
2011-01-01,12906205
2011-02-01,11166018
2011-03-01,13715222
2011-04-01,13725439
2011-05-01,14098339
2011-06-01,15018895
2011-07-01,16973896
2011-08-01,16039225
2011-09-01,13408302
2011-10-01,13354932
2011-11-01,12304730
2011-12-01,13750736
2012-01-01,13441837
2012-02-01,11942221
2012-03-01,14648648
